Category,Winners
Favorite Artist - Alternative Rock,Panic! At The Disco
Favorite Artist - Adult Contemporary,Shawn Mendes
Favorite Artist - Latin,Daddy Yankee
Favorite Artist - Contemporary Inspirational,Lauren Daigle
Favorite Artist – Electronic Dance Music (EDM),Marshmello
Favorite Soundtrack,"“Black Panther: The Album, Music From And Inspired By”"
Favorite Social Artist,BTS
New Artist of the Year,Camila Cabello
Collaboration of the Year,Camila Cabello ft. Young Thug “Havana”
Artist Of The Year,Taylor Swift
Favorite Male Artist – Pop/Rock,Post Malone
Favorite Female Artist – Pop/Rock,Taylor Swift
Favorite Duo or Group – Pop/Rock,Migos
Favorite Album – Pop/Rock,Taylor Swift “reputation”
Favorite Song – Pop/Rock,Camila Cabello ft. Young Thug “Havana”
Favorite Male Artist - Country,Kane Brown
Favorite Female Artist - Country,Carrie Underwood
Favorite Duo or Group - Country,Florida Georgia Line
Favorite Album - Country,Kane Brown “Kane Brown”
Favorite Song - Country,Kane Brown “Heaven”
Favorite Artist – Rap/Hip-Hop,Cardi B
Favorite Album – Rap/Hip-Hop,Post Malone “Beerbongs & Bentleys”
Favorite Song – Rap/Hip-Hop,Cardi B “Bodak Yellow (Money Moves)”
Favorite Male Artist – Soul/R&B,Khalid
Favorite Female Artist – Soul/R&B,Rihanna
Favorite Album – Soul/R&B,XXXTENTACION “17”
Favorite Song – Soul/R&B,Bruno Mars & Cardi B “Finesse”
Tour of the Year,Taylor Swift
Favorite Music Video,Camila Cabello ft. Young Thug “Havana”
